"Frame","N_Person","Xcenter","Ycenter","PerXmin","PerYmin","PerXmax","PerYmax","N_Handgun","HgXcenter","HgYcenter","HgXmin","HgYmin","HgXmax","HgYmax","Intersection","Included_Center","Intersection_Area","Hg_Area","Distance","Ground_Truth"
"14","1","323.7391663","304.4983826","269.5055847","147.2677155","377.9727478","461.7290497","0","402.5960083","191.4740143","378.8509789","177.0436182","426.3410378","205.9044104","No_intersection","0","0","1370.60072","137.8147647","0"
"15","0","472.6424255","308.8778687","390.2441406","159.2009583","555.0407104","458.5547791","0","401.6920776","191.8141632","376.2724953","177.7498407","427.11166","205.8784857","Center_left","1","1037.033363","1430.036814","136.8863141","1"
"15","1","322.4314575","304.1867981","265.9193344","147.9840851","378.9435806","460.3895111","0","401.6920776","191.8141632","376.2724953","177.7498407","427.11166","205.8784857","Up_right","0","75.13401164","1430.036814","137.5131084","0"
"16","0","472.011322","308.8597412","389.2163544","159.1180725","554.8062897","458.6014099","0","403.5188599","191.8637543","380.6485653","177.963295","426.3891544","205.7642136","Center_left","1","1033.437988","1271.630394","135.5701971","1"
"16","1","321.3403015","303.5553894","265.7157707","150.145813","376.9648323","456.9649658","0","403.5188599","191.8637543","380.6485653","177.963295","426.3891544","205.7642136","No_intersection","0","0","1271.630394","138.6662786","0"
"17","0","472.482666","308.0884705","390.4845428","158.6699829","554.4807892","457.506958","0","403.7169189","191.2958984","381.8753738","176.4985609","425.5584641","206.093236","Center_left","1","1038.001301","1292.786861","135.533143","1"
"17","1","321.2605896","303.8590698","264.1364517","151.993454","378.3847275","455.7246857","0","403.7169189","191.2958984","381.8753738","176.4985609","425.5584641","206.093236","No_intersection","0","0","1292.786861","139.5331996","0"
"18","0","471.8068848","307.494812","389.4060745","157.5761566","554.207695","457.4134674","0","401.4139404","190.6635437","375.2955704","176.211422","427.5323105","205.1156654","Center_left","1","1102.010007","1509.863454","136.3990904","1"
"18","1","320.8854675","304.6021729","263.3583908","152.1491547","378.4125443","457.055191","0","401.4139404","190.6635437","375.2955704","176.211422","427.5323105","205.1156654","Up_right","0","90.09377183","1509.863454","139.5236401","0"
"19","0","471.7394714","307.4926758","389.2891159","157.5578613","554.189827","457.4274902","0","401.4042358","190.660965","375.2869682","176.2161999","427.5215034","205.1057301","Center_left","1","1104.515714","1509.031182","136.3696961","1"
"19","1","320.9022217","304.6297302","263.3097801","152.4582825","378.4946632","456.801178","0","401.4042358","190.660965","375.2869682","176.2161999","427.5215034","205.1057301","Up_right","0","92.66880173","1509.031182","139.5329844","0"
"20","0","473.2443848","308.2636414","393.2957916","158.7801208","553.1929779","457.7471619","0","401.1729431","190.7679749","374.8342056","177.0705347","427.5116806","204.465415","Center_left","1","937.3401827","1443.093121","137.8387621","1"
"20","1","319.3808594","305.3100586","260.7856178","154.5193329","377.9761009","456.1007843","0","401.1729431","190.7679749","374.8342056","177.0705347","427.5116806","204.465415","Up_right","0","86.07184548","1443.093121","140.7474117","0"
"21","0","473.0509644","307.8218079","393.9780426","158.2227783","552.1238861","457.4208374","0","402.0054626","191.6473846","377.6436996","177.349637","426.3672256","205.9451323","Center_left","1","926.1847291","1393.273355","136.1762091","1"
"21","1","318.59729","305.1840515","260.0156479","156.1317902","377.1789322","454.2363129","0","402.0054626","191.6473846","377.6436996","177.349637","426.3672256","205.9451323","No_intersection","0","0","1393.273355","140.8811484","0"
"22","0","473.067688","307.4877014","394.3598328","157.5823364","551.7755432","457.3930664","0","401.4205627","191.5965881","375.7997971","177.2247992","427.0413284","205.9683771","Center_left","1","939.3831184","1472.864952","136.2499934","1"
"22","1","316.8909607","304.8826904","255.7483826","155.6812286","378.0335388","454.0841522","0","401.4205627","191.5965881","375.7997971","177.2247992","427.0413284","205.9683771","Up_right","0","64.20573042","1472.864952","141.3470714","0"
"23","0","473.6271362","306.5248718","395.8855362","156.1760559","551.3687363","456.8736877","0","400.9434509","191.4164886","374.8800602","176.7208261","427.0068417","206.1121511","Center_left","1","914.6964033","1532.075175","136.1354399","1"
"23","1","316.9823608","303.5075073","253.4214401","153.2813416","380.5432816","453.7336731","0","400.9434509","191.4164886","374.8800602","176.7208261","427.0068417","206.1121511","Up_right","0","166.4495795","1532.075175","140.0494952","0"
"24","0","474.1630249","306.3034973","396.2141266","156.0953674","552.1119232","456.5116272","0","401.2440796","191.4646606","375.749649","177.0059166","426.7385101","205.9234047","Center_left","1","882.6884979","1474.469784","136.0335657","1"
"24","1","316.0328979","303.1297607","251.0133514","151.9178314","381.0524445","454.3416901","0","401.2440796","191.4646606","375.749649","177.0059166","426.7385101","205.9234047","Up_right","0","153.3435232","1474.469784","140.463661","0"
"25","0","474.1749573","306.5538025","395.9658356","156.1746674","552.384079","456.9329376","0","401.1902466","191.4420929","375.5703487","176.9850807","426.8101444","205.8991051","Center_left","1","891.8330973","1481.5487","136.2992065","1"
"25","1","315.8503418","303.1375427","250.6812134","151.8683929","381.0194702","454.4066925","0","401.1902466","191.4420929","375.5703487","176.9850807","426.8101444","205.8991051","Up_right","0","157.556031","1481.5487","140.5659022","0"
"26","0","474.3423462","306.1841736","397.2565308","155.829422","551.4281616","456.5389252","0","402.0715027","191.6586151","377.7564011","177.4450464","426.3866043","205.8721838","Center_left","1","828.0846025","1382.417468","135.4222226","1"
"26","1","315.3244934","302.2361145","247.7355652","153.0741425","382.9134216","451.3980865","0","402.0715027","191.6586151","377.7564011","177.4450464","426.3866043","205.8721838","Up_right","0","146.5993322","1382.417468","140.5433278","0"
"27","0","473.9050293","306.113739","396.2553711","156.1796265","551.5546875","456.0478516","0","402.4567261","191.7877045","378.7924328","177.8365707","426.1210194","205.7388382","Center_left","1","833.3193058","1320.574881","134.8158085","1"
"27","1","314.2000427","301.8818665","246.5153809","152.4459381","381.8847046","451.3177948","0","402.4567261","191.7877045","378.7924328","177.8365707","426.1210194","205.7388382","Up_right","0","86.28139494","1320.574881","141.1026813","0"
"28","0","473.3797913","306.0860596","395.097496","155.9785767","551.6620865","456.1935425","0","401.3862","191.9130707","375.9662018","178.0076914","426.8061981","205.81845","Center_left","1","881.843059","1413.898865","134.9761037","1"
"28","1","314.9501343","302.9620361","248.0691376","153.4180756","381.831131","452.5059967","0","401.3862","191.9130707","375.9662018","178.0076914","426.8061981","205.81845","Up_right","0","163.1081301","1413.898865","140.7233676","0"
"29","0","473.5135498","306.5951538","395.8025208","156.5077209","551.2245789","456.6825867","0","401.4610596","192.3946228","376.3047752","178.7905931","426.6173439","205.9986525","Center_left","1","838.4115359","1368.907352","135.030821","1"
"29","1","316.5150452","303.4844666","251.1746674","152.9992218","381.855423","453.9697113","0","401.4610596","192.3946228","376.3047752","178.7905931","426.6173439","205.9986525","Up_right","0","151.0223528","1368.907352","139.8455532","0"
"30","0","473.3103027","307.3802185","395.075325","157.6178741","551.5452805","457.1425629","0","401.2571411","193.1916809","377.6154041","180.3638868","424.8988781","206.019475","Center_left","1","765.1407951","1213.085334","135.0210362","1"
"30","1","315.6885376","303.9211121","249.8589096","153.4948578","381.5181656","454.3473663","0","401.2571411","193.1916809","377.6154041","180.3638868","424.8988781","206.019475","Up_right","0","100.1276406","1213.085334","139.9392469","0"
"31","0","473.4150391","307.3735962","395.360672","157.5424805","551.4694061","457.2047119","0","401.4564514","193.2423706","378.0874023","180.4225197","424.8255005","206.0622215","Center_left","1","755.4694174","1198.350901","134.9221071","1"
"31","1","315.8771362","303.9697266","250.2600327","153.5812225","381.4942398","454.3582306","0","401.4564514","193.2423706","378.0874023","180.4225197","424.8255005","206.0622215","Up_right","0","87.35029679","1198.350901","139.9441551","0"
"32","0","473.3544312","307.6954956","394.5706787","157.6173401","552.1381836","457.7736511","0","400.9450684","193.611084","377.2924747","181.0217867","424.597662","206.2003813","Center_left","1","756.0372383","1191.078131","135.1235316","1"
"32","1","314.9738464","304.0762939","248.1500702","153.6237793","381.7976227","454.5288086","0","400.9450684","193.611084","377.2924747","181.0217867","424.597662","206.2003813","Up_right","0","113.4332934","1191.078131","139.9771896","0"
"33","0","474.0174255","308.0624695","396.2781448","158.0484314","551.7567062","458.0765076","0","400.7738647","193.7602386","377.3416252","181.0963869","424.2061043","206.4240904","Center_left","1","707.3510754","1186.969629","135.7557335","1"
"33","1","314.0924072","303.8120728","246.7574615","153.6672363","381.4273529","453.9569092","0","400.7738647","193.7602386","377.3416252","181.0963869","424.2061043","206.4240904","Up_right","0","103.4820995","1186.969629","140.0895473","0"
"34","0","473.8542786","307.8291626","396.2004776","157.9031525","551.5080795","457.7551727","0","401.0629883","194.4957123","378.7197704","181.4037647","423.4062061","207.5876598","Center_left","1","712.3519423","1170.064945","134.6961132","1"
"34","1","314.2542419","303.6506958","246.7454453","153.482605","381.7630386","453.8187866","0","401.0629883","194.4957123","378.7197704","181.4037647","423.4062061","207.5876598","Up_right","0","79.68461544","1170.064945","139.4652963","0"
"35","0","473.5081787","307.7199707","395.1243362","157.4773407","551.8920212","457.9626007","0","401.4779663","195.2573395","379.9856644","182.0177612","422.9702682","208.4969177","Center_left","1","737.3367913","1138.196053","133.552218","1"
"35","1","313.9198303","303.5228271","244.8569641","153.7401886","382.9826965","453.3054657","0","401.4779663","195.2573395","379.9856644","182.0177612","422.9702682","208.4969177","Up_right","0","79.35888373","1138.196053","139.2402348","0"
"36","0","473.7562256","307.5195313","395.5059967","157.4483337","552.0064545","457.5907288","0","401.7287903","195.885025","381.122858","182.8480263","422.3347225","208.9220238","Center_left","1","699.5321298","1074.558051","132.8541095","1"
"36","1","314.0150146","303.167511","245.0556564","153.3719177","382.9743729","452.9631042","0","401.7287903","195.885025","381.122858","182.8480263","422.3347225","208.9220238","Up_right","0","48.27639269","1074.558051","138.5757491","0"
"37","0","473.6961975","307.4274292","395.5839081","157.2207489","551.8084869","457.6341095","0","401.6792603","195.8870239","381.0189724","182.8910437","422.3395481","208.8830042","Center_left","1","695.4315395","1074.002773","132.7693536","1"
"37","1","313.864624","303.1637878","244.8799133","153.1734467","382.8493347","453.154129","0","401.6792603","195.8870239","381.0189724","182.8910437","422.3395481","208.8830042","Up_right","0","47.57470517","1074.002773","138.6351846","0"
"38","0","474.3741455","307.6703186","397.1745071","157.3464203","551.5737839","457.9942169","0","401.8167114","198.4075928","382.9600334","184.7773552","420.6733894","212.0378304","Center_left","1","640.590697","1028.084005","131.1599196","1"
"38","1","313.7677612","303.3368225","242.806015","153.4135132","384.7295074","453.2601318","0","401.8167114","198.4075928","382.9600334","184.7773552","420.6733894","212.0378304","Up_right","0","48.23670283","1028.084005","136.9772276","0"
"39","0","474.162323","307.7492676","396.3787689","157.6100464","551.9458771","457.8884888","0","402.2265625","198.5245056","384.0900078","185.3705482","420.3631172","211.678463","Center_left","1","630.9781899","954.2698702","130.7853289","1"
"39","1","313.5787048","302.664978","243.7042847","152.3565979","383.453125","452.9733582","0","402.2265625","198.5245056","384.0900078","185.3705482","420.3631172","211.678463","No_intersection","0","0","954.2698702","136.7614005","0"
"40","0","474.0321045","307.5725403","396.0578461","157.2022858","552.0063629","457.9427948","0","401.5729675","198.4844818","382.5563297","184.9681768","420.5896053","212.0007868","Center_left","1","663.1574793","1028.138704","130.960036","1"
"40","1","315.4586792","302.6602173","249.6297913","150.5662231","381.2875671","454.7542114","0","401.5729675","198.4844818","382.5563297","184.9681768","420.5896053","212.0007868","No_intersection","0","0","1028.138704","135.160107","0"
"41","0","473.7254944","306.9257202","395.7740631","156.3919525","551.6769257","457.4594879","0","401.6936035","198.4552765","382.8656826","184.9506931","420.5215244","211.9598598","Center_left","1","668.4083086","1017.05291","130.2091796","1"
"41","1","316.384552","300.4811707","253.3003998","146.8322449","379.4687042","454.1300964","0","401.6936035","198.4552765","382.8656826","184.9506931","420.5215244","211.9598598","No_intersection","0","0","1017.05291","132.9921703","0"
"42","0","473.772644","307.2255554","395.6375122","157.1184387","551.9077759","457.3326721","0","401.9436951","198.4828491","383.3986149","184.9994535","420.4887753","211.9662447","Center_left","1","670.1588205","1000.202609","130.3241117","1"
"42","1","318.185791","300.5137939","255.7360687","145.7761841","380.6355133","455.2514038","0","401.9436951","198.4828491","383.3986149","184.9994535","420.4887753","211.9662447","No_intersection","0","0","1000.202609","132.00644","0"
"43","0","473.8180237","307.2127991","395.7181244","157.1032867","551.917923","457.3223114","0","401.9668579","198.4884338","383.4775925","185.0164003","420.4561234","211.9604673","Center_left","1","666.5423015","996.3520137","130.3210559","1"
"43","1","318.1991577","300.4713135","255.6354446","145.7158051","380.7628708","455.2268219","0","401.9668579","198.4884338","383.4775925","185.0164003","420.4561234","211.9604673","No_intersection","0","0","996.3520137","131.9755104","0"
"44","0","473.5028076","306.7934265","395.4445724","156.780014","551.5610428","456.806839","0","401.8368225","198.3937836","383.1696548","184.8643436","420.5039902","211.9232235","Center_left","1","678.0797734","1010.225294","129.9480512","1"
"44","1","319.8790283","299.1573486","258.2990417","143.4897461","381.4590149","454.8249512","0","401.8368225","198.3937836","383.1696548","184.8643436","420.5039902","211.9232235","No_intersection","0","0","1010.225294","129.8860118","0"
"45","0","472.8318787","307.272522","393.7118988","158.0761871","551.9518585","456.4688568","0","402.0023499","196.1117859","381.9102268","183.2605829","422.0944729","208.9629889","Center_left","1","729.5004404","1032.831804","131.8086924","1"
"45","1","321.7886658","301.9758301","258.0075302","152.3330383","385.5698013","451.6186218","0","402.0023499","196.1117859","381.9102268","183.2605829","422.0944729","208.9629889","Up_right","0","94.05986955","1032.831804","132.8210487","0"
"46","0","472.6891174","307.3771362","393.4987717","157.495636","551.8794632","457.2586365","0","401.8823853","195.7713318","380.8978615","182.7037725","422.866909","208.838891","Center_left","1","767.5397496","1096.86603","132.1720428","1"
"46","1","322.8635864","301.0310669","258.1958084","150.2281189","387.5313644","451.8340149","0","401.8823853","195.7713318","380.8978615","182.7037725","422.866909","208.838891","Up_right","0","173.3673858","1096.86603","131.6190807","0"
"47","0","472.7659912","307.1448975","393.5311813","157.3896179","552.0008011","456.900177","0","402.6128235","195.3599701","381.4219074","182.3128576","423.8037395","208.4070826","Center_left","1","789.9389432","1105.92106","131.9747587","1"
"47","1","320.6906738","300.5641479","261.3223114","145.427597","380.0590363","455.7006989","0","402.6128235","195.3599701","381.4219074","182.3128576","423.8037395","208.4070826","No_intersection","0","0","1105.92106","133.3385077","0"
"48","0","473.156189","306.7406311","394.0574646","156.4577026","552.2549133","457.0235596","0","402.3475342","194.7772064","380.2432766","181.6985035","424.4517918","207.8559093","Center_left","1","795.0367513","1156.380073","132.4751828","1"
"48","1","320.4629211","300.4454041","264.2044563","142.8689575","376.721386","458.0218506","0","402.3475342","194.7772064","380.2432766","181.6985035","424.4517918","207.8559093","No_intersection","0","0","1156.380073","133.6819279","0"
"49","0","473.1891785","306.7727661","394.1342392","156.49823","552.2441177","457.0473022","0","402.3565674","194.7930298","380.288044","181.710557","424.4250908","207.8755026","Center_left","1","792.5584842","1154.843429","132.5017741","1"
"49","1","320.4785156","300.4332275","264.2212296","142.9197998","376.7358017","457.9466553","0","402.3565674","194.7930298","380.288044","181.710557","424.4250908","207.8755026","No_intersection","0","0","1154.843429","133.6557771","0"
"50","0","472.9930725","306.6101685","393.7994537","155.9450226","552.1866913","457.2753143","0","401.7037048","194.7248535","378.6764488","181.4157438","424.7309608","208.0339632","Center_left","1","823.3416419","1225.889104","132.6668672","1"
"50","1","323.7186279","302.3394775","262.8816299","150.2427063","384.5556259","454.4362488","0","401.7037048","194.7248535","378.6764488","181.4157438","424.7309608","208.0339632","Up_right","0","156.4932256","1225.889104","132.9006378","0"
"51","0","324.9534912","302.8422852","263.8502502","151.3230591","386.0567322","454.3615112","0","401.208313","194.4423981","377.5267887","181.4793386","424.8898373","207.4054575","Up_right","0","221.1483281","1227.940026","132.5342724","1"
"51","1","473.1445313","306.8740845","394.3398361","156.2119293","551.9492264","457.5362396","0","401.208313","194.4423981","377.5267887","181.4793386","424.8898373","207.4054575","Center_left","1","792.0429606","1227.940026","133.4754794","0"
"52","0","472.8130798","307.1864929","393.2692795","156.5387268","552.3568802","457.834259","0","401.2412415","194.328476","377.6061172","181.0218563","424.8763657","207.6350956","Center_left","1","841.1669478","1258.014432","133.6392908","1"
"52","1","323.5202026","304.8377686","265.4485512","155.0267639","381.5918541","454.6487732","0","401.2412415","194.328476","377.6061172","181.0218563","424.8763657","207.6350956","Up_right","0","106.0733684","1258.014432","135.1031592","0"
"53","0","321.5864563","304.84198","269.909256","152.3972321","373.2636566","457.2867279","0","401.2188416","194.0241394","376.6942406","181.1485071","425.7434425","206.8997717","No_intersection","0","0","1263.078977","136.4621214","0"
"53","1","472.0213318","307.8271484","390.450882","157.5910339","553.5917816","458.0632629","0","401.2188416","194.0241394","376.6942406","181.1485071","425.7434425","206.8997717","Center_left","1","908.8280649","1263.078977","134.0302857","1"
"54","0","322.8503723","305.0443726","272.6305237","149.864563","373.0702209","460.2241821","0","400.7123413","193.8312683","375.4551582","180.909565","425.9695244","206.7529716","No_intersection","0","0","1305.463307","135.7602327","0"
"54","1","472.5615234","308.374115","391.8583603","158.0957031","553.2646866","458.6525269","0","400.7123413","193.8312683","375.4551582","180.909565","425.9695244","206.7529716","Center_left","1","881.5486859","1305.463307","135.2123097","1"
"55","0","472.6442566","308.34729","392.0722733","158.0678101","553.2162399","458.62677","0","400.7550049","193.8631439","375.5096741","180.9754457","426.0003357","206.7508421","Center_left","1","874.5092567","1301.416815","135.1838904","1"
"55","1","322.8036194","305.0236206","272.644062","149.838089","372.9631767","460.2091522","0","400.7550049","193.8631439","375.5096741","180.9754457","426.0003357","206.7508421","No_intersection","0","0","1301.416815","135.7684429","0"
"56","0","324.2098083","305.4717712","276.073082","146.9576416","372.3465347","463.9859009","0","401.6697693","194.0090179","377.7214642","181.2978983","425.6180744","206.7201376","No_intersection","0","0","1217.639088","135.7350026","1"
"56","1","472.593811","308.9665527","392.2425766","158.6056671","552.9450455","459.3274384","0","401.6697693","194.0090179","377.7214642","181.2978983","425.6180744","206.7201376","Center_left","1","848.4798924","1217.639088","135.0757362","0"
"57","0","324.8926697","304.1348267","279.0026016","142.6939545","370.7827377","465.5756989","0","401.4650879","193.7642059","376.8148994","181.2731895","426.1152763","206.2552223","No_intersection","0","0","1231.623631","134.3317131","0"
"57","1","472.1189575","308.8322144","390.628418","158.0331421","553.6094971","459.6312866","0","401.4650879","193.7642059","376.8148994","181.2731895","426.1152763","206.2552223","Center_left","1","886.5338589","1231.623631","135.0282039","1"
"58","0","326.4049988","304.3566284","280.6104469","140.6802673","372.1995506","468.0329895","0","401.9051819","193.7234497","377.948246","181.2302246","425.8621178","206.2166748","No_intersection","0","0","1197.197571","133.9402026","0"
"58","1","472.0997314","309.567688","390.4125977","158.8625336","553.7868652","460.2728424","0","401.9051819","193.7234497","377.948246","181.2302246","425.8621178","206.2166748","Center_left","1","885.7576687","1197.197571","135.4516974","1"
"59","0","329.5847473","307.8204956","279.4877434","151.3920441","379.6817513","464.2489471","0","402.0835876","193.2255402","378.1400356","180.8409452","426.0271397","205.6101351","Up_right","0","38.18704691","1186.12477","135.6026757","0"
"59","1","471.8909302","309.7415161","389.5616302","159.0656128","554.2202301","460.4174194","0","402.0835876","193.2255402","378.1400356","180.8409452","426.0271397","205.6101351","Center_left","1","903.2211251","1186.12477","135.8272348","1"
"60","0","332.7128296","308.6373596","284.4532738","151.1280975","380.9723854","466.1466217","0","402.855835","193.6811676","380.4479103","181.4850197","425.2637596","205.8773155","Up_right","0","12.79315174","1093.161454","134.6661327","0"
"60","1","471.3990784","310.1263428","388.2976685","159.2377167","554.5004883","461.0149689","0","402.855835","193.6811676","380.4479103","181.4850197","425.2637596","205.8773155","Center_left","1","901.6878314","1093.161454","135.1208905","1"
"61","0","332.5624084","308.6944885","284.5534554","151.2095032","380.5713615","466.1794739","0","402.8661804","193.6519623","380.4906616","181.468111","425.2416992","205.8358135","Up_right","0","1.966471657","1090.47997","134.8236003","0"
"61","1","471.364563","310.2356262","388.2865601","159.2732544","554.4425659","461.197998","0","402.8661804","193.6519623","380.4906616","181.468111","425.2416992","205.8358135","Center_left","1","900.5118363","1090.47997","135.2175252","1"
"62","0","334.2054138","308.3854065","290.4103317","149.7570496","378.0004959","467.0137634","0","402.4838257","193.1665955","379.0394268","180.6624069","425.9282246","205.670784","No_intersection","0","0","1172.612735","133.9302652","0"
"62","1","471.2592468","310.3492126","387.8029175","159.6982422","554.7155762","461.0001831","0","402.4838257","193.1665955","379.0394268","180.6624069","425.9282246","205.670784","Center_left","1","953.4520556","1172.612735","135.874296","1"
"63","0","335.0410156","308.9983215","290.1082268","151.0753479","379.9738045","466.9212952","0","402.254364","192.4474182","377.6864605","179.6351957","426.8222675","205.2596407","Up_right","0","58.61191989","1259.077783","134.542734","0"
"63","1","470.9474182","310.6094666","386.5061493","159.4872131","555.3886871","461.73172","0","402.254364","192.4474182","377.6864605","179.6351957","426.8222675","205.2596407","Center_left","1","1033.078153","1259.077783","136.6784744","1"
"64","0","336.6326904","310.0776062","292.1600647","152.2446899","381.1053162","467.9105225","0","401.9501953","192.6806946","378.010685","178.6321793","425.8897057","206.7292099","Up_right","0","86.94994751","1345.258311","134.3443758","0"
